user_id,apparel,bags,shop_by_brand,drinkware,new,clearance,accessories,campus_collection,office,lifestyle,small_goods,uncategorized_items,stationery,google,writing_instruments,fun,unknown,electronics_accessories,notebooks_journals,gift_cards,black_lives_matter
apulyedehw,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oallstdkxt,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
efcfewxxke,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bwrpvyebwz,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
suovhfdzjw,0,0,0,0,0,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0
whpxqskyja,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
sgvpavmwtn,0,1,1,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0
tqepyaligp,5,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
qyxqckxiem,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xvspsniggv,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
lrhmusifov,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ldxngcyaxc,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
tqycbezfrm,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0
unvhuuxfpc,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
tgodlntyuo,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mipimuzkgf,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wepvdwrgml,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tuelhlehxy,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
udmqgxoils,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
zdfofnmuvy,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,1,0,0
ieurkchjhx,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hinzljjbve,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lnrrpetqnv,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
ofcsnnemqy,9,0,3,1,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0
fystogllnt,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vsxxqiitpb,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0
bbvkyabkit,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ryfsiegxvb,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
czusxoetfd,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
jxbsinaldv,0,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
ninyccxoju,3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fgonqrfjcc,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wxlphstvxy,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kwoxpyzosg,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ohljajlvzj,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zwyoemqoxv,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hdhwvoimaq,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bdtuvvbznl,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gpwxmnpwjf,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
bdkmhqehbx,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0
xlocxdncpl,0,0,0,0,0,1,3,1,0,0,0,0,6,1,0,0,2,0,0,0,0
bnjchbrirx,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0
kzowqavcrt,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
awltlmvhui,0,0,0,0,0,0,2,10,2,1,0,1,0,0,0,0,0,0,1,0,0
wnukekqzuu,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
kgsjnxlxzt,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
llmhlhheju,3,0,0,2,6,0,2,2,0,1,0,0,0,0,0,0,2,0,0,0,0
jqzglkryvk,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
hgriisbdpk,3,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
ddyosbulst,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
mvytavjeew,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xkelznqein,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rkofzuqmmw,25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
