year,word,n,n_cume
2019,contributions,1,1
2020,contributions,1,2
2018,contributors,1,1
2020,contributors,1,2
2019,convenient,1,1
2018,convert,1,1
2020,converters,1,1
2019,convex,2,2
2018,cooperate,1,1
2019,coordinates,5,5
2021,coordinators,3,3
2020,copula,1,1
2018,copyediting,1,1
2019,core,1,1
2021,core,2,3
2016,cornerstone,1,1
2018,correlated,1,1
2019,corresponding,1,1
2017,countries,2,2
2021,countries,5,7
2021,country,1,1
2017,countryrelevant,1,1
2016,course,1,1
2021,course,2,3
2022,course,1,4
2021,courses,1,1
2019,cover,1,1
2019,coveragedriven,2,2
2020,covid,5,5
2017,cran,4,4
2018,cran,5,9
2020,cran,5,14
2021,cran,6,20
2022,cran,1,21
2023,cran,1,22
2021,cranecosystem,1,1
2016,create,1,1
2017,create,3,4
2018,create,4,8
2019,create,2,10
2020,create,3,13
2021,create,5,18
2022,create,1,19
2016,creating,2,2
2018,creating,3,5
2019,creating,1,6
2020,creating,1,7
2017,creation,1,1
2018,creation,3,4
2019,creation,1,5
2022,creation,2,7
2023,creation,1,8
2017,creative,1,1
2019,creators,1,1
2019,critical,2,2
2020,critical,1,3
2020,crm,1,1
2019,crossindustry,1,1
2020,crucial,2,2
2022,crucial,1,3
2020,crul,1,1
2017,csos,1,1
2020,csárdi,1,1
2021,culminating,1,1
2021,cultural,1,1
2020,curate,1,1
2022,curated,1,1
2020,curating,1,1
2020,curator,1,1
2020,curl,1,1
2016,current,2,2
2018,current,2,4
2019,current,2,6
2020,current,2,8
2021,current,1,9
2022,current,2,11
2023,current,1,12
2016,currently,2,2
2018,currently,3,5
2019,currently,5,10
2018,curriculum,1,1
2021,curriculum,3,4
2019,curve,1,1
2019,curves,1,1
2018,custom,1,1
2021,customizations,1,1
2018,customize,1,1
2021,customized,1,1
2019,cvxpy,1,1
2019,cvxr,3,3
2019,cyber,1,1
2019,d,3,3
2022,d,1,4
2018,daily,1,1
2018,daróczi,1,1
2018,dashboards,1,1
2016,data,13,13
2017,data,18,31
2018,data,20,51
2019,data,8,59
2020,data,18,77
2021,data,34,111
2022,data,15,126
2023,data,4,130
2016,database,2,2
2017,database,2,4
2018,database,2,6
2020,database,4,10
2021,database,1,11
2018,databases,1,1
2019,databases,2,3
2020,databases,1,4
2021,databases,2,6
2023,databases,3,9
2018,datadriven,2,2
2022,dataset,1,1
2018,datasets,2,2
2021,datasets,2,4
2022,datasets,3,7
2020,date,1,1
2017,day,2,2
2017,dbi,4,4
2018,dbi,6,10
2021,dbi,3,13
2023,dbi,1,14
2018,dbitest,1,1
2021,dbitest,1,2
2023,dbitest,1,3
2020,dbplyr,1,1
2019,dcp,1,1
2017,ddr,2,2
2019,deal,1,1
2020,debugging,1,1
2018,decades,1,1
2021,decimals,1,1
2018,decipher,1,1
2018,declared,1,1
2019,deconstruction,1,1
2017,dedicated,1,1
2022,deep,1,1
2019,deepstate,3,3
2022,default,1,1
2018,define,1,1
2018,defined,1,1
2019,defined,1,2
2017,defines,1,1
2017,deliver,1,1
2019,deliver,1,2
2022,deliver,1,3
2022,deliverable,1,1
2016,demand,1,1
2022,dengue,7,7
2017,dense,1,1
2018,dependence,1,1
2020,dependence,1,2
2017,dependencies,1,1
2020,dependencies,1,2
2019,depicting,1,1
2018,deploy,2,2
2021,deploy,1,3
2021,deployable,1,1
2020,deployed,1,1
2018,deploying,2,2
2022,deployment,1,1
2017,deployments,1,1
2021,depositing,1,1
2021,deprived,2,2
2019,derivatives,1,1
2018,describe,1,1
2019,describe,1,2
2018,described,1,1
2019,described,1,2
2021,described,1,3
2018,describing,2,2
2016,design,1,1
2018,design,1,2
2019,design,5,7
2018,designed,1,1
2019,designed,1,2
2021,designed,2,4
2017,desktops,1,1
2022,desolve,1,1
2017,despite,1,1
2019,despite,2,3
2016,detail,1,1
2017,detailed,1,1
2017,determined,1,1
2016,detsch,1,1
2016,develop,2,2
2017,develop,2,4
2018,develop,1,5
2019,develop,3,8
2020,develop,3,11
2021,develop,3,14
2022,develop,1,15
2023,develop,2,17
2017,developed,2,2
2018,developed,1,3
2020,developed,1,4
2021,developed,1,5
2018,developer,1,1
2016,developers,2,2
2018,developers,5,7
2019,developers,3,10
2020,developers,2,12
2023,developers,1,13
2018,developing,1,1
2019,developing,2,3
2020,developing,1,4
2022,developing,1,5
2016,development,1,1
2017,development,1,2
2018,development,5,7
2019,development,4,11
2020,development,6,17
2021,development,3,20
2022,development,4,24
2023,development,2,26
2017,developments,1,1
2019,developments,1,2
2020,developments,2,4
2020,develops,1,1
2019,diagnosing,1,1
2018,differences,1,1
2022,differences,1,2
2017,different,1,1
2018,different,3,4
2019,different,1,5
2020,different,1,6
2021,different,2,8
2022,differential,1,1
2016,difficult,1,1
2019,difficult,2,3
2021,difficult,2,5
2018,difficulty,1,1
2021,dig,1,1
2019,digital,1,1
2017,dimensional,1,1
2020,direct,2,2
2018,directive,1,1
2017,directly,1,1
2022,discarded,1,1
2019,disciplined,1,1
2018,disciplines,1,1
2022,discouraging,1,1
2018,discovering,1,1
2022,discussions,1,1
2020,disease,2,2
2022,disease,1,3
2020,disk,1,1
2022,displayed,1,1
2021,disruption,1,1
2023,dissemination,1,1
2016,distributed,1,1
2017,distributed,5,6
2020,distributed,1,7
2023,distributed,1,8
2017,distributedr,1,1
2020,distribution,1,1
2019,diverse,1,1
2021,diverse,2,3
2022,diverse,1,4
2023,diverse,1,5
2021,diversify,1,1
2020,diversity,2,2
2018,document,2,2
2022,document,1,3
2016,documentation,7,7
2018,documentation,4,11
2019,documentation,4,15
2021,documentation,2,17
2022,documentation,3,20
2023,documentation,1,21
2018,documented,1,1
2018,documents,2,2
2020,documents,2,4
2020,doesnt,1,1
2018,domain,1,1
2019,domain,2,3
2021,domain,1,4
2021,domains,1,1
2022,domains,2,3
2017,done,1,1
2018,done,2,3
2017,download,1,1
2021,download,1,2
2021,downloading,1,1
2023,downloading,1,2
2020,dplyr,1,1
2021,dplyr,2,3
2017,dplyrstyle,1,1
2019,dpo,1,1
2022,dpo,2,3
2018,draw,3,3
2017,driver,1,1
2020,driving,1,1
2017,dropin,1,1
2022,dropped,3,3
2018,due,2,2
2019,due,1,3
2020,due,1,4
2021,due,3,7
2019,duel,1,1
2016,duplication,1,1
2019,dynamic,1,1
2018,earlier,1,1
2017,earth,1,1
2021,earth,1,2
2017,ease,1,1
2018,ease,2,3
2020,ease,1,4
2016,easier,1,1
2017,easier,1,2
2018,easier,3,5
2020,easier,3,8
2018,easily,3,3
2019,easily,1,4
2020,easily,1,5
2021,easily,2,7
2021,east,2,2
2019,easy,3,3
2020,easy,1,4
2022,easy,2,6
2022,easytofollow,1,1
2019,easytouse,4,4
2018,ecological,1,1
2022,ecological,1,2
2018,ecology,1,1
2019,ecology,1,2
2016,ecosystem,1,1
2020,ecosystem,1,2
2021,ecosystem,3,5
2023,ecosystem,1,6
2018,editorial,1,1
2018,education,1,1
2022,education,1,2
2018,educational,1,1
2019,educational,1,2
2022,educational,1,3
2021,educationalist,1,1
2017,effectively,1,1
2018,effectively,1,2
2023,effectiveness,1,1
2018,effects,3,3
2021,efficient,1,1
2023,efficient,1,2
2016,efficiently,1,1
2016,effort,1,1
2017,effort,1,2
2022,effort,1,3
2023,effort,1,4
2017,efforts,1,1
2018,efforts,1,2
2017,eg,1,1
2018,eg,3,4
2019,eg,3,7
2021,eg,1,8
2019,either,2,2
2021,electrical,1,1
2021,electronic,1,1
2022,element,2,2
2018,elements,2,2
2021,elements,1,3
2022,elements,1,4
2020,eliminates,1,1
2017,eliminating,1,1
2022,elliptic,1,1
2019,else,1,1
2019,emailing,1,1
2018,eml,1,1
2022,employ,1,1
2017,empower,1,1
2020,empower,1,2
2016,enable,2,2
2017,enable,1,3
2019,enable,2,5
2021,enable,2,7
2022,enable,1,8
2018,enabled,1,1
2017,enables,1,1
2016,enabling,2,2
2017,enabling,1,3
2019,enabling,1,4
2018,enclosed,1,1
2017,encourage,1,1
2018,encourage,2,3
2019,encouraged,1,1
2023,encrypted,1,1
2023,encryption,1,1
2021,end,1,1
2023,endpoints,1,1
2019,engage,1,1
2022,engage,1,2
2017,engaged,1,1
2021,engine,2,2
2021,engineering,3,3
2022,engineering,1,4
2021,engineers,1,1
2017,engines,1,1
2016,english,1,1
2017,english,1,2
2016,enhance,1,1
2021,enhance,1,2
2023,enhance,2,4
2021,enhancement,1,1
2018,enhancements,1,1
2021,enhancements,1,2
2017,ensure,1,1
2020,ensure,1,2
2023,ensure,1,3
2021,ensuring,2,2
2022,ensuring,1,3
2023,ensuring,1,4
2020,entire,1,1
2020,entries,1,1
2017,entry,1,1
2020,entry,1,2
2016,environment,1,1
2017,environment,2,3
2019,environment,2,5
2021,environment,1,6
2023,environment,1,7
2019,environmental,1,1
2021,environmental,2,3
